"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","13.4758484717134","375","8.64706896551724","18.0796762820512"
"2001","13.1986589799652","375","8.6282665925102","17.3009420189098"
"2002","12.8045577404512","375","8.45762820512821","16.6535835401157"
"2003","12.3296120920147","375","7.88616858237548","16.256115962822"
"2004","11.9070579839538","375","7.61875","15.6754727474972"
"2005","12.8039096902273","375","7.68220430107527","16.9203517135441"
"2006","11.6267862990649","375","7.65551158752421","15.0736507936507"
"2007","11.9110187766695","375","7.40617352614016","15.6177175697865"
"2008","10.8951099985247","375","7.20748511904762","13.7500816324613"
"2009","9.87076253659397","375","6.85958625035822","12.4132795698924"
"2010","9.99948869779187","375","6.58126984126984","13.3163437008087"
"2011","9.82716790903273","375","6.65758620689655","12.38723727422"
"2012","9.19552953823626","375","6.63598286903314","11.607967032967"
"2013","8.96365361960982","375","6.3830285410449","11.3352405900293"
"2014","8.88077145673644","375","6.1104866791581","11.2461068744473"
"2015","8.53517170942376","375","6.0995624768261","10.7540021840021"
"2016","7.75154554867077","375","5.57968206830651","9.67680960344004"
"2017","8.07004893473515","375","5.82265997799408","9.96488075374755"
"2018","8.24731974031334","375","6.13301167964405","10.5706491924492"
"2019","7.63685792064584","375","5.67198924731183","9.54407407407407"
"2020","8.05380278793382","375","5.84684981684982","10.6695520984877"
"2021","8.47184160827168","375","6.25049662668666","10.9070222665265"
